#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
127,Malta,"121,144",+110,873                                ,+2,"119,676",+45,595,,"272,827","1,966","2,162,707","4,870,600","444,033 ",Europe,,45090,248,5,"1,340",
128,Barbados,"110,298",,648                                ,,"108,647",,"1,003",,"382,949","2,250","812,248","2,820,080","288,023 ",North America,,34440,,,"3,482",
129,Angola,"106,720",,"1,937                                ",,"103,419",,"1,364",,"3,047",55,"1,499,795","42,818","35,027,343 ",Africa,,"32818,08323",,,39,
130,Channel Islands,"101,717",,228                                ,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551","176,463 ",Europe,,27740,,,952,
131,DRC,"99,338",,"1,468                                ",,"84,489",,"13,381",,"1,043",15,"846,704","8,890","95,240,792 ",Africa,,"95964,878112",,,140,
132,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,,37480,,,"274,906",
133,Malawi,"89,168",,"2,686                                ",,N/A,N/A,N/A,N/A,"4,418",133,"624,784","30,959","20,180,839 ",Africa,,"2267,51332",,,41,
134,Senegal,"89,050",,"1,971                                ",,"87,024",,55,,"5,044",112,"1,146,543","64,946","17,653,671 ",Africa,,"1988,95715",,,3,
135,Ivory Coast,"88,384",,835                                ,,"87,497",,52,,"3,186",30,"1,690,934","60,951","27,742,298 ",Africa,,"31433,22416",,,2,
136,Suriname,"82,588",,"1,408                                ",,N/A,N/A,N/A,,"138,378","2,359","242,207","405,822","596,831 ",South America,,74242,,,"52,623",
137,New Caledonia,"80,064",,314                                ,,N/A,N/A,N/A,N/A,"275,214","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,498,
138,French Polynesia,"79,227",,649                                ,,N/A,N/A,N/A,N/A,"278,807","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"158,634",
139,Eswatini,"75,191",,"1,427                                ",,"73,116",,648,,"63,462","1,204","1,048,704","885,119","1,184,817 ",Africa,,168301,,,547,
140,Guyana,"73,681",,"1,299                                ",,"72,013",,369,,"92,792","1,636","733,218","923,396","794,045 ",South America,,116111,,,465,
141,Belize,"71,373",,688                                ,,N/A,N/A,N/A,N/A,"173,156","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,"1,456",
142,Fiji,"69,117",,885                                ,,"67,226",,"1,006",,"75,997",973,"672,883","739,866","909,466 ",Australia/Oceania,,"131,0281",,,"1,106",
143,Madagascar,"68,471",,"1,426                                ",,"66,862",,183,,"2,347",49,"531,329","18,210","29,178,077 ",Africa,,"42620,46155",,,6,
144,Cabo Verde,"64,477",,417                                ,,"63,755",,305,23,"113,580",735,"401,622","707,482","567,678 ",Africa,,"91,3611",,,537,
145,Sudan,"63,993",,"5,046                                ",,"58,947",,0,,"1,391",110,"562,941","12,240","45,992,020 ",Africa,,"7199,11582",,,,
146,Mauritania,"63,777",,997                                ,,"62,471",,309,,"13,010",203,"1,009,957","206,030","4,901,981 ",Africa,,"774,9175",,,63,
147,Bhutan,"62,697",,21                                ,,"61,564",,"1,112",,"79,571",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,"1,411",
148,Syria,"57,743",,"3,165                                ",,"54,578",,0,,"2,982",163,"146,269","7,553","19,364,809 ",Asia,,"3356,118132",,,,
149,Burundi,"54,721",,38                                ,,"53,569",,"1,114",,"4,334",3,"345,742","27,386","12,624,840 ",Africa,,"231332,23337",,,88,
150,Seychelles,"51,220",,172                                ,,"51,048",,0,,"515,157","1,730",,,"99,426 ",Africa,,2578,,,,
151,Gabon,"49,051",,307                                ,,"48,674",,70,,"21,038",132,"1,621,909","695,641","2,331,533 ",Africa,,"487,5951",,,30,
152,Andorra,"48,015",,165                                ,,N/A,N/A,N/A,N/A,"619,844","2,130","249,838","3,225,256","77,463 ",Europe,,24690,,,"3,705",
153,Papua New Guinea,"46,864",,670                                ,,"46,168",,26,N/A,"5,043",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"19813,86937",,,3,
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,,45610,,,"5,866",
155,Aruba,"44,224",,292                                ,,"42,438",,"1,494",2,"410,969","2,714","177,885","1,653,068","107,609 ",North America,,23691,,,"13,884",
156,Tanzania,"43,223",,846                                ,,N/A,N/A,N/A,N/A,683,13,,,"63,298,550 ",Africa,,"1,46474,821",,,667,
157,Mauritius,"43,025",,"1,051                                ",,"41,278",,696,,"33,752",824,"358,675","281,374","1,274,727 ",Africa,,"301,2134",,,546,
158,Mayotte,"42,027",,188                                ,,N/A,N/A,N/A,,"146,815",657,"176,919","618,038","286,259 ",Africa,,"71,5232",,,"135,804",
159,Togo,"39,553",,290                                ,,"39,262",,1,,"4,556",33,"812,881","93,641","8,680,837 ",Africa,,"21929,93411",,,0.1,
160,Guinea,"38,572",,468                                ,,"37,757",,347,N/A,"2,782",34,"660,107","47,607","13,865,691 ",Africa,,"35929,62821",,,25,
161,Bahamas,"38,084",,844                                ,,"36,366",,874,1,"95,087","2,107","257,839","643,767","400,516 ",North America,,114752,,,"2,182",
162,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,,27391,,,"129,450",
163,Lesotho,"36,135",,723                                ,,"25,980",,"9,432",,"16,608",332,"431,221","198,199","2,175,699 ",Africa,,"603,0095",,,"4,335",
164,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,N/A,"703,959",569,"778,000","15,802,409","49,233 ",Europe,,"11,7580",,,"547,133",
